name,type,source_id,source_label,target_id,target_label,transaction_date,value_date,amount,currency,status,exchange_rate,base_amount,base_currency,description
Belastung TWINT: M ZUERICH-HAUPTBAHNHOF ZUERICH,expense,Account2,ZKB Privatkonto,Migros,Migros,2026-08-01,2026-08-01,54.3,CHF,settled,1.0,54.3,CHF,
Belastung TWINT: APFELKISTE.CH BADEN,expense,Account2,ZKB Privatkonto,Apfelkiste,Apfelkiste,2026-08-01,2026-08-01,43.9,CHF,settled,1.0,43.9,CHF,
Gebühr ZKB inklusiv Basis,expense,Account2,ZKB Privatkonto,ZKB,ZKB,2026-08-04,2026-07-31,4,CHF,settled,1.0,4,CHF,
Belastung TWINT: PATHE SPREITENBACH AG SPREITENBACH,expense,Account2,ZKB Privatkonto,Pathe,Pathé,2026-08-05,2026-08-05,58.8,CHF,settled,1.0,58.8,CHF,
Belastung TWINT: VEREINIGUNG DER STRASSENVERKEH BERN,expense,Account2,ZKB Privatkonto,Strassenverkehrsaemter,Strassenverkehrsämter (asa),2026-08-09,2026-08-09,1,CHF,settled,1.0,1,CHF,
Belastung TWINT: COOP-2492 ZH SIHLCITY NF ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_NF,Coop City,2026-08-15,2026-08-15,179.1,CHF,settled,1.0,179.1,CHF,
"Einkauf ZKB Visa Debit Card Nr. xxxx 6800, LimmatSpot Haus K. 8957",expense,Account2,ZKB Privatkonto,LimmatSpot,LimmatSpot,2026-08-17,2026-08-16,4,CHF,settled,1.0,4,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-08-18,2026-08-18,62.5,CHF,settled,1.0,62.5,CHF,
"Belastung Mobile Banking: Garage Johann Frei AG, Hammerstrasse 85",expense,Account2,ZKB Privatkonto,Garage_Johann_Frei,Garage Johann Frei,2026-08-20,2026-08-20,101,CHF,settled,1.0,101,CHF,
Belastung TWINT: POLIZEIINSPEKTORAT/BERN BERN,expense,Account2,ZKB Privatkonto,Polizeiinspektorat_Bern,Polizeiinspektorat Bern,2026-08-21,2026-08-21,16,CHF,settled,1.0,16,CHF,
Belastung TWINT: HOSTPOINT RAPPERSWIL,expense,Account2,ZKB Privatkonto,Hostpoint,Hostpoint,2026-08-21,2026-08-21,5,CHF,settled,1.0,5,CHF,
Lohnzahlung Employer AG,income,EmployerAG,Employer AG,Account2,ZKB Privatkonto,2026-08-21,2026-08-21,5617.7,CHF,settled,1.0,5617.7,CHF,
