name,type,source_id,source_label,target_id,target_label,transaction_date,value_date,amount,currency,status,exchange_rate,base_amount,base_currency,description
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-01-18,2025-01-18,13.5,CHF,settled,1.0,13.5,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-01-18,2025-01-18,288.55,CHF,settled,1.0,288.55,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-01-21,2025-01-21,15.75,CHF,settled,1.0,15.75,CHF,
Salärzahlung Employer AG,income,EmployerAG,Employer AG,Account1,Privatkonto,2025-01-23,2025-01-23,7464.0,CHF,settled,1.0,7464.0,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-01-23,2025-01-23,248.15,CHF,settled,1.0,248.15,CHF,
Kreditkarten-Zahlung 2025-01-23,transfer,Account1,Privatkonto,Account3,KK-Konto,2025-01-23,2025-01-23,1355.3,CHF,settled,1.0,1355.3,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-01-24,2025-01-24,12.2,CHF,settled,1.0,12.2,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-01-27,2025-01-27,13.15,CHF,settled,1.0,13.15,CHF,
Krankenkasse,expense,Account1,Privatkonto,Krankenkasse,Krankenkasse,2025-01-29,2025-01-29,982.0,CHF,settled,1.0,982.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-01-30,2025-01-30,11.75,CHF,settled,1.0,11.75,CHF,
BKW Schlusszahlung,expense,Account1,Privatkonto,BKW,BKW,2025-01-30,2025-01-30,192.0,CHF,settled,1.0,192.0,CHF,
Rent,expense,Account1,Privatkonto,Rent,Rent,2025-02-01,2025-02-01,1820.0,CHF,settled,1.0,1820.0,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-02-01,2025-02-01,275.4,CHF,settled,1.0,275.4,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-02-02,2025-02-02,12.15,CHF,settled,1.0,12.15,CHF,
Bestellung Zalando 2025,expense,Account1,Privatkonto,Zalando,Zalando,2025-02-02,2025-02-02,142.1,CHF,settled,1.0,142.1,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-02-05,2025-02-05,11.1,CHF,settled,1.0,11.1,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-02-08,2025-02-08,15.15,CHF,settled,1.0,15.15,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-02-08,2025-02-08,81.6,CHF,settled,1.0,81.6,CHF,
Benzin 2025,expense,Account1,Privatkonto,CoopTankstelleTalgutZentrum,Coop Tankstelle Talgut Zentrum,2025-02-09,2025-02-09,82.55,CHF,settled,1.0,82.55,CHF,
Mobile Subscription,expense,Account1,Privatkonto,MobileProvider,Mobile Provider,2025-02-10,2025-02-10,19.9,CHF,settled,1.0,19.9,CHF,
Netflix,expense,Account1,Privatkonto,Netflix,Netflix,2025-02-10,2025-02-10,20.9,CHF,settled,1.0,20.9,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-02-11,2025-02-11,11.15,CHF,settled,1.0,11.15,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-02-11,2025-02-11,214.25,CHF,settled,1.0,214.25,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-02-14,2025-02-14,12.1,CHF,settled,1.0,12.1,CHF,
ÖV Abo,expense,Account1,Privatkonto,Libero,Libero-Tarifverbund,2025-02-16,2025-02-16,1501.0,CHF,settled,1.0,1501.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-02-17,2025-02-17,14.9,CHF,settled,1.0,14.9,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-02-17,2025-02-17,92.2,CHF,settled,1.0,92.2,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-02-20,2025-02-20,15.45,CHF,settled,1.0,15.45,CHF,
Salärzahlung Employer AG,income,EmployerAG,Employer AG,Account1,Privatkonto,2025-02-23,2025-02-23,7464.0,CHF,settled,1.0,7464.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-02-23,2025-02-23,15.35,CHF,settled,1.0,15.35,CHF,
Kreditkarten-Zahlung 2025-02-23,transfer,Account1,Privatkonto,Account3,KK-Konto,2025-02-23,2025-02-23,2569.88,CHF,settled,1.0,2569.88,CHF,
Halbtax,expense,Account1,Privatkonto,SBB,Schweizerische Bundesbahnen,2025-02-23,2025-02-23,190.0,CHF,settled,1.0,190.0,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-02-25,2025-02-25,367.05,CHF,settled,1.0,367.05,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-02-26,2025-02-26,15.65,CHF,settled,1.0,15.65,CHF,
Bestellung Zalando 2025,expense,Account1,Privatkonto,Zalando,Zalando,2025-02-28,2025-02-28,52.85,CHF,settled,1.0,52.85,CHF,
Rent,expense,Account1,Privatkonto,Rent,Rent,2025-03-01,2025-03-01,1820.0,CHF,settled,1.0,1820.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-03-01,2025-03-01,11.85,CHF,settled,1.0,11.85,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-03-01,2025-03-01,97.4,CHF,settled,1.0,97.4,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-03-04,2025-03-04,15.0,CHF,settled,1.0,15.0,CHF,
Benzin 2025,expense,Account1,Privatkonto,CoopTankstelleTalgutZentrum,Coop Tankstelle Talgut Zentrum,2025-03-05,2025-03-05,85.0,CHF,settled,1.0,85.0,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-03-06,2025-03-06,346.9,CHF,settled,1.0,346.9,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-03-07,2025-03-07,14.0,CHF,settled,1.0,14.0,CHF,
Mobile Subscription,expense,Account1,Privatkonto,MobileProvider,Mobile Provider,2025-03-10,2025-03-10,19.9,CHF,settled,1.0,19.9,CHF,
Netflix,expense,Account1,Privatkonto,Netflix,Netflix,2025-03-10,2025-03-10,20.9,CHF,settled,1.0,20.9,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-03-10,2025-03-10,11.0,CHF,settled,1.0,11.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-03-13,2025-03-13,11.7,CHF,settled,1.0,11.7,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-03-14,2025-03-14,352.1,CHF,settled,1.0,352.1,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-03-16,2025-03-16,13.45,CHF,settled,1.0,13.45,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-03-16,2025-03-16,168.8,CHF,settled,1.0,168.8,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-03-19,2025-03-19,15.45,CHF,settled,1.0,15.45,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-03-19,2025-03-19,60.35,CHF,settled,1.0,60.35,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-03-22,2025-03-22,11.85,CHF,settled,1.0,11.85,CHF,
Salärzahlung Employer AG,income,EmployerAG,Employer AG,Account1,Privatkonto,2025-03-23,2025-03-23,7464.0,CHF,settled,1.0,7464.0,CHF,
Bestellung Zalando 2025,expense,Account1,Privatkonto,Zalando,Zalando,2025-03-23,2025-03-23,91.55,CHF,settled,1.0,91.55,CHF,
Kreditkarten-Zahlung 2025-03-23,transfer,Account1,Privatkonto,Account3,KK-Konto,2025-03-23,2025-03-23,559.23,CHF,settled,1.0,559.23,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-03-25,2025-03-25,11.0,CHF,settled,1.0,11.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-03-28,2025-03-28,12.65,CHF,settled,1.0,12.65,CHF,
Krankenkasse,expense,Account1,Privatkonto,Krankenkasse,Krankenkasse,2025-03-29,2025-03-29,982.0,CHF,settled,1.0,982.0,CHF,
Steuerverwaltung 1. Steuerrate,expense,Account1,Privatkonto,Steuerverwaltung,Steuerverwaltung,2025-03-30,2025-03-30,210.0,CHF,settled,1.0,210.0,CHF,
BKW Akonto 1,expense,Account1,Privatkonto,BKW,BKW,2025-03-30,2025-03-30,220.0,CHF,settled,1.0,220.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-03-31,2025-03-31,11.8,CHF,settled,1.0,11.8,CHF,
Bestellung Zalando 2025,expense,Account1,Privatkonto,Zalando,Zalando,2025-03-31,2025-03-31,138.5,CHF,settled,1.0,138.5,CHF,
Rent,expense,Account1,Privatkonto,Rent,Rent,2025-04-01,2025-04-01,1820.0,CHF,settled,1.0,1820.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-04-03,2025-04-03,10.95,CHF,settled,1.0,10.95,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-04-03,2025-04-03,79.25,CHF,settled,1.0,79.25,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-04-06,2025-04-06,11.15,CHF,settled,1.0,11.15,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-04-09,2025-04-09,13.75,CHF,settled,1.0,13.75,CHF,
Mobile Subscription,expense,Account1,Privatkonto,MobileProvider,Mobile Provider,2025-04-10,2025-04-10,19.9,CHF,settled,1.0,19.9,CHF,
Netflix,expense,Account1,Privatkonto,Netflix,Netflix,2025-04-10,2025-04-10,20.9,CHF,settled,1.0,20.9,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-04-10,2025-04-10,126.6,CHF,settled,1.0,126.6,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-04-12,2025-04-12,14.65,CHF,settled,1.0,14.65,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-04-15,2025-04-15,13.85,CHF,settled,1.0,13.85,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-04-18,2025-04-18,12.8,CHF,settled,1.0,12.8,CHF,
Benzin 2025,expense,Account1,Privatkonto,CoopTankstelleTalgutZentrum,Coop Tankstelle Talgut Zentrum,2025-04-20,2025-04-20,47.95,CHF,settled,1.0,47.95,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-04-21,2025-04-21,11.6,CHF,settled,1.0,11.6,CHF,
Salärzahlung Employer AG,income,EmployerAG,Employer AG,Account1,Privatkonto,2025-04-23,2025-04-23,7464.0,CHF,settled,1.0,7464.0,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-04-23,2025-04-23,61.4,CHF,settled,1.0,61.4,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-04-23,2025-04-23,360.05,CHF,settled,1.0,360.05,CHF,
Kreditkarten-Zahlung 2025-04-23,transfer,Account1,Privatkonto,Account3,KK-Konto,2025-04-23,2025-04-23,3187.19,CHF,settled,1.0,3187.19,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-04-24,2025-04-24,15.7,CHF,settled,1.0,15.7,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-04-27,2025-04-27,12.35,CHF,settled,1.0,12.35,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-04-27,2025-04-27,91.05,CHF,settled,1.0,91.05,CHF,
Bestellung Zalando 2025,expense,Account1,Privatkonto,Zalando,Zalando,2025-04-28,2025-04-28,82.0,CHF,settled,1.0,82.0,CHF,
Krankenkasse,expense,Account1,Privatkonto,Krankenkasse,Krankenkasse,2025-04-29,2025-04-29,982.0,CHF,settled,1.0,982.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-04-30,2025-04-30,13.9,CHF,settled,1.0,13.9,CHF,
Bestellung Zalando 2025,expense,Account1,Privatkonto,Zalando,Zalando,2025-04-30,2025-04-30,47.55,CHF,settled,1.0,47.55,CHF,
Rent,expense,Account1,Privatkonto,Rent,Rent,2025-05-01,2025-05-01,1820.0,CHF,settled,1.0,1820.0,CHF,
Kopenhagen Ticket,expense,Account1,Privatkonto,SWISS_International_Airlines,SWISS International Airlines,2025-05-02,2025-05-02,874.0,CHF,settled,1.0,874.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-05-03,2025-05-03,14.4,CHF,settled,1.0,14.4,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-05-06,2025-05-06,12.5,CHF,settled,1.0,12.5,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-05-08,2025-05-08,55.5,CHF,settled,1.0,55.5,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-05-09,2025-05-09,10.9,CHF,settled,1.0,10.9,CHF,
Mobile Subscription,expense,Account1,Privatkonto,MobileProvider,Mobile Provider,2025-05-10,2025-05-10,19.9,CHF,settled,1.0,19.9,CHF,
Netflix,expense,Account1,Privatkonto,Netflix,Netflix,2025-05-10,2025-05-10,20.9,CHF,settled,1.0,20.9,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-05-11,2025-05-11,83.2,CHF,settled,1.0,83.2,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-05-12,2025-05-12,14.2,CHF,settled,1.0,14.2,CHF,
Benzin 2025,expense,Account1,Privatkonto,CoopTankstelleTalgutZentrum,Coop Tankstelle Talgut Zentrum,2025-05-12,2025-05-12,51.85,CHF,settled,1.0,51.85,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-05-15,2025-05-15,11.2,CHF,settled,1.0,11.2,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-05-15,2025-05-15,345.5,CHF,settled,1.0,345.5,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-05-18,2025-05-18,15.0,CHF,settled,1.0,15.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-05-21,2025-05-21,11.7,CHF,settled,1.0,11.7,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-05-22,2025-05-22,180.25,CHF,settled,1.0,180.25,CHF,
Salärzahlung Employer AG,income,EmployerAG,Employer AG,Account1,Privatkonto,2025-05-23,2025-05-23,7464.0,CHF,settled,1.0,7464.0,CHF,
Kreditkarten-Zahlung 2025-05-23,transfer,Account1,Privatkonto,Account3,KK-Konto,2025-05-23,2025-05-23,2133.76,CHF,settled,1.0,2133.76,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-05-24,2025-05-24,14.25,CHF,settled,1.0,14.25,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-05-26,2025-05-26,71.7,CHF,settled,1.0,71.7,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-05-27,2025-05-27,11.45,CHF,settled,1.0,11.45,CHF,
Krankenkasse,expense,Account1,Privatkonto,Krankenkasse,Krankenkasse,2025-05-29,2025-05-29,982.0,CHF,settled,1.0,982.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-05-30,2025-05-30,11.35,CHF,settled,1.0,11.35,CHF,
Rent,expense,Account1,Privatkonto,Rent,Rent,2025-06-01,2025-06-01,1820.0,CHF,settled,1.0,1820.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-06-02,2025-06-02,12.55,CHF,settled,1.0,12.55,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-06-05,2025-06-05,15.75,CHF,settled,1.0,15.75,CHF,
Benzin 2025,expense,Account1,Privatkonto,CoopTankstelleTalgutZentrum,Coop Tankstelle Talgut Zentrum,2025-06-07,2025-06-07,56.2,CHF,settled,1.0,56.2,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-06-07,2025-06-07,226.95,CHF,settled,1.0,226.95,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-06-08,2025-06-08,11.75,CHF,settled,1.0,11.75,CHF,
Mobile Subscription,expense,Account1,Privatkonto,MobileProvider,Mobile Provider,2025-06-10,2025-06-10,19.9,CHF,settled,1.0,19.9,CHF,
Netflix,expense,Account1,Privatkonto,Netflix,Netflix,2025-06-10,2025-06-10,20.9,CHF,settled,1.0,20.9,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-06-11,2025-06-11,13.15,CHF,settled,1.0,13.15,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-06-14,2025-06-14,14.85,CHF,settled,1.0,14.85,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-06-17,2025-06-17,15.8,CHF,settled,1.0,15.8,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-06-17,2025-06-17,96.0,CHF,settled,1.0,96.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-06-20,2025-06-20,14.65,CHF,settled,1.0,14.65,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-06-20,2025-06-20,367.5,CHF,settled,1.0,367.5,CHF,
Salärzahlung Employer AG,income,EmployerAG,Employer AG,Account1,Privatkonto,2025-06-23,2025-06-23,7464.0,CHF,settled,1.0,7464.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-06-23,2025-06-23,12.7,CHF,settled,1.0,12.7,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-06-23,2025-06-23,44.45,CHF,settled,1.0,44.45,CHF,
Kreditkarten-Zahlung 2025-06-23,transfer,Account1,Privatkonto,Account3,KK-Konto,2025-06-23,2025-06-23,6124.75,CHF,settled,1.0,6124.75,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-06-26,2025-06-26,12.65,CHF,settled,1.0,12.65,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-06-27,2025-06-27,147.1,CHF,settled,1.0,147.1,CHF,
Krankenkasse,expense,Account1,Privatkonto,Krankenkasse,Krankenkasse,2025-06-29,2025-06-29,982.0,CHF,settled,1.0,982.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-06-29,2025-06-29,11.35,CHF,settled,1.0,11.35,CHF,
Rent,expense,Account1,Privatkonto,Rent,Rent,2025-07-01,2025-07-01,1820.0,CHF,settled,1.0,1820.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-07-02,2025-07-02,14.9,CHF,settled,1.0,14.9,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-07-04,2025-07-04,84.6,CHF,settled,1.0,84.6,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-07-05,2025-07-05,15.7,CHF,settled,1.0,15.7,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-07-08,2025-07-08,12.65,CHF,settled,1.0,12.65,CHF,
Gurten Festival 2025,expense,Account1,Privatkonto,GurtenFestival,Gurten Festival,2025-07-09,2025-07-09,232.0,CHF,settled,1.0,232.0,CHF,
Mobile Subscription,expense,Account1,Privatkonto,MobileProvider,Mobile Provider,2025-07-10,2025-07-10,19.9,CHF,settled,1.0,19.9,CHF,
Netflix,expense,Account1,Privatkonto,Netflix,Netflix,2025-07-10,2025-07-10,20.9,CHF,settled,1.0,20.9,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-07-11,2025-07-11,14.1,CHF,settled,1.0,14.1,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-07-14,2025-07-14,13.6,CHF,settled,1.0,13.6,CHF,
Benzin 2025,expense,Account1,Privatkonto,CoopTankstelleTalgutZentrum,Coop Tankstelle Talgut Zentrum,2025-07-15,2025-07-15,38.1,CHF,settled,1.0,38.1,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-07-16,2025-07-16,57.65,CHF,settled,1.0,57.65,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-07-17,2025-07-17,14.95,CHF,settled,1.0,14.95,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-07-20,2025-07-20,15.4,CHF,settled,1.0,15.4,CHF,
Salärzahlung Employer AG,income,EmployerAG,Employer AG,Account1,Privatkonto,2025-07-23,2025-07-23,7464.0,CHF,settled,1.0,7464.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-07-23,2025-07-23,11.15,CHF,settled,1.0,11.15,CHF,
Kreditkarten-Zahlung 2025-07-23,transfer,Account1,Privatkonto,Account3,KK-Konto,2025-07-23,2025-07-23,9035.95,CHF,settled,1.0,9035.95,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-07-26,2025-07-26,15.35,CHF,settled,1.0,15.35,CHF,
Krankenkasse,expense,Account1,Privatkonto,Krankenkasse,Krankenkasse,2025-07-29,2025-07-29,982.0,CHF,settled,1.0,982.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-07-29,2025-07-29,15.45,CHF,settled,1.0,15.45,CHF,
Rent,expense,Account1,Privatkonto,Rent,Rent,2025-08-01,2025-08-01,1820.0,CHF,settled,1.0,1820.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-08-01,2025-08-01,15.35,CHF,settled,1.0,15.35,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-08-04,2025-08-04,11.1,CHF,settled,1.0,11.1,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-08-04,2025-08-04,98.65,CHF,settled,1.0,98.65,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-08-07,2025-08-07,11.85,CHF,settled,1.0,11.85,CHF,
Mobile Subscription,expense,Account1,Privatkonto,MobileProvider,Mobile Provider,2025-08-10,2025-08-10,19.9,CHF,settled,1.0,19.9,CHF,
Netflix,expense,Account1,Privatkonto,Netflix,Netflix,2025-08-10,2025-08-10,20.9,CHF,settled,1.0,20.9,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-08-10,2025-08-10,13.75,CHF,settled,1.0,13.75,CHF,
